product_id,metric_date,total_users,active_users,transaction_count,transaction_value,revenue,failed_transactions,complaints,downtime_minutes,fraud_incidents
AGENT_BANKING,2026-02-24,59952,30089,312425,796753774.02,8651588.64,14200,284,57.5,1697
ATM_NETWORK,2026-02-24,150319,79491,839336,2668465675.68,65218813.67,28652,682,44.2,1780
CORPORATE_PORTAL,2026-02-24,12139,6544,36481,110733099.23,2264617.89,1220,38,27.6,74
INTERNET_BANKING,2026-02-24,85733,59978,453283,1809649857.34,32122512.69,7513,565,26.1,567
MOBILE_BANKING,2026-02-24,121072,87725,680122,2577621488.78,31296043.37,6713,318,0.9,533
POS_TERMINALS,2026-02-24,39732,7452,88094,199637219.68,1606428.98,14392,382,290.6,1204
USSD_SERVICE,2026-02-24,202141,125379,670069,1010427379.2,10208940.56,8054,753,7.2,1098
WALLET_APP,2026-02-24,96709,86157,922174,294171749.94,6949738.2,5196,132,12.2,140
AGENT_BANKING,2026-02-25,60034,20279,83656,225305476.5,5263285.2,2915,231,49.5,214
ATM_NETWORK,2026-02-25,151319,59759,679873,2148831889.98,26709812.19,42874,1146,43.0,4801
CORPORATE_PORTAL,2026-02-25,12294,8005,43629,127284343.57,1612823.95,1160,79,6.3,108
INTERNET_BANKING,2026-02-25,86529,59531,217965,168105007.84,3325963.4,7553,459,40.3,221
MOBILE_BANKING,2026-02-25,123834,102442,925170,2549256707.75,56943815.5,6783,151,0.5,649
POS_TERMINALS,2026-02-25,39227,8697,68290,218560845.29,5386802.08,4956,367,246.2,1021
USSD_SERVICE,2026-02-25,202920,130151,1115269,2437271127.3,45668690.03,35415,1019,9.5,1546
WALLET_APP,2026-02-25,97546,78058,365219,938807912.15,7740353.89,1816,200,0.7,163
AGENT_BANKING,2026-02-26,60204,23043,270651,391715238.74,7049869.27,8930,279,68.1,1607
ATM_NETWORK,2026-02-26,151354,79476,439552,283253826.85,6570695.34,34898,1401,50.5,2920
CORPORATE_PORTAL,2026-02-26,12359,7362,37141,135229213.66,2379025.4,1029,50,9.4,47
INTERNET_BANKING,2026-02-26,86910,48429,270833,1025820074.68,9986297.68,8773,515,28.0,806
MOBILE_BANKING,2026-02-26,126916,103936,450308,109754422.61,2286038.21,3935,320,2.2,331
POS_TERMINALS,2026-02-26,38697,10474,103198,281056224.59,6747226.24,12831,251,178.9,382
USSD_SERVICE,2026-02-26,203880,128514,1308468,4185704849.53,95106509.83,37318,677,17.0,2122
WALLET_APP,2026-02-26,98641,76000,773088,406924851.44,4746561.15,5256,121,0.0,732
AGENT_BANKING,2026-02-27,60312,31087,105223,192379540.47,2890926.56,5864,568,79.6,434
ATM_NETWORK,2026-02-27,151267,71988,739086,222781218.85,3618329.05,57405,1313,100.5,5314
CORPORATE_PORTAL,2026-02-27,12429,6255,52953,164530526.11,3080126.57,1400,62,14.1,144
INTERNET_BANKING,2026-02-27,88059,57112,247874,786079026.41,16540843.47,7633,528,5.7,134
MOBILE_BANKING,2026-02-27,129382,96352,434662,225872406.53,3507939.82,4874,383,7.7,369
POS_TERMINALS,2026-02-27,37991,7398,79072,257155782.08,3024946.16,5811,118,169.2,643
USSD_SERVICE,2026-02-27,205615,142432,1519662,2150012887.03,53331234.09,54522,1382,28.3,3057
WALLET_APP,2026-02-27,99611,79346,427647,1687168733.57,41945365.76,2202,80,3.2,118
AGENT_BANKING,2026-02-28,60209,20583,178257,567977783.72,7044575.42,10862,386,113.3,862
ATM_NETWORK,2026-02-28,151378,57718,399983,867418009.25,7847169.39,29907,1383,98.7,2669
CORPORATE_PORTAL,2026-02-28,12507,7703,61553,89349715.82,734044.12,1626,53,38.1,45
INTERNET_BANKING,2026-02-28,88956,53609,383547,91552154.49,1123385.05,7437,356,42.3,999
MOBILE_BANKING,2026-02-28,130880,104151,542454,1052438029.38,10740238.9,6614,142,4.0,220
POS_TERMINALS,2026-02-28,37335,7865,48076,109175907.05,2582334.51,3946,422,94.0,185
USSD_SERVICE,2026-02-28,206155,127583,969306,734214592.37,6460606.18,28968,761,19.1,1111
WALLET_APP,2026-02-28,100602,71325,616443,1738615312.21,21258961.49,5129,236,0.0,610
AGENT_BANKING,2026-03-01,60731,26353,237097,818241215.65,13221735.19,9338,495,41.2,816
ATM_NETWORK,2026-03-01,152120,58160,561306,2124039368.43,40308588.65,42753,674,52.1,1822
CORPORATE_PORTAL,2026-03-01,12630,7246,69905,63052206.12,1415706.91,1317,76,6.1,48
INTERNET_BANKING,2026-03-01,89922,52500,268495,298622578.55,7080177.25,6200,448,16.0,361
MOBILE_BANKING,2026-03-01,133895,110874,431601,1732708006.07,23022321.95,680,551,12.4,423
POS_TERMINALS,2026-03-01,36671,5952,25484,105845485.34,1645109.16,1619,111,256.9,291
USSD_SERVICE,2026-03-01,207434,125258,358638,1179214490.25,19720706.29,13369,553,32.0,831
WALLET_APP,2026-03-01,101622,81844,430677,1607701139.39,28218021.0,798,257,8.6,236
AGENT_BANKING,2026-03-02,60784,30914,366862,228669513.74,3639785.62,22785,662,49.6,2796
ATM_NETWORK,2026-03-02,153556,70330,405057,1208331289.2,26367930.14,19741,1320,95.1,1262
CORPORATE_PORTAL,2026-03-02,12801,9100,33502,100309436.47,1405962.3,798,34,26.7,68
INTERNET_BANKING,2026-03-02,90566,49780,322023,444356366.39,8992309.8,6877,322,23.7,347
MOBILE_BANKING,2026-03-02,136557,122727,1011259,2378331162.31,46925397.94,5257,341,14.1,413
POS_TERMINALS,2026-03-02,36210,5184,35619,136291284.56,2320339.27,5800,132,171.5,448
USSD_SERVICE,2026-03-02,208570,114885,1209642,4870710400.41,109721289.74,28268,586,11.4,1163
WALLET_APP,2026-03-02,102196,89516,888258,3783816750.12,66018244.14,2313,406,6.6,729
AGENT_BANKING,2026-03-03,60990,30567,197636,191632756.44,3983064.84,10960,317,30.2,318
ATM_NETWORK,2026-03-03,154799,60059,680436,268620665.24,5008817.87,42790,603,119.5,1233
CORPORATE_PORTAL,2026-03-03,12981,6931,45298,54395442.22,1087364.86,1432,29,38.5,70
INTERNET_BANKING,2026-03-03,91030,57274,336326,700726864.99,6490649.99,10237,584,24.9,481
MOBILE_BANKING,2026-03-03,139086,104727,934188,3626422748.05,72446481.39,4280,331,14.2,109
POS_TERMINALS,2026-03-03,35491,4929,16059,36744952.57,380221.91,1690,108,248.8,141
USSD_SERVICE,2026-03-03,210268,149787,1246656,1347132117.0,24700254.1,16135,1566,44.5,2846
WALLET_APP,2026-03-03,104421,93225,649007,1061577743.49,21820705.26,7726,384,3.1,483
AGENT_BANKING,2026-03-04,61363,20847,117501,213481233.74,2412659.47,8971,170,86.6,792
ATM_NETWORK,2026-03-04,154652,59875,616505,509693895.29,12510702.72,23434,1192,95.8,3846
CORPORATE_PORTAL,2026-03-04,13017,8631,50089,135178248.63,2617179.0,1408,49,33.2,58
INTERNET_BANKING,2026-03-04,92203,49688,347436,483182427.16,4999137.52,4204,221,37.8,924
MOBILE_BANKING,2026-03-04,142295,115618,337034,1299907628.09,10550071.34,4180,569,13.5,155
POS_TERMINALS,2026-03-04,34939,12023,101065,283760409.83,3147045.09,12068,339,67.8,1001
USSD_SERVICE,2026-03-04,211253,143450,912776,2809126612.7,31156041.47,20906,678,20.7,2348
WALLET_APP,2026-03-04,105160,92712,903851,2699258601.8,54492230.15,7980,282,3.1,291
AGENT_BANKING,2026-03-05,61074,22715,136310,400430797.58,8742798.79,9278,491,37.0,519
ATM_NETWORK,2026-03-05,155681,72118,805284,174141485.1,3826583.96,45322,1011,114.1,3949
