product_id,metric_date,total_users,active_users,transaction_count,transaction_value,revenue,failed_transactions,complaints,downtime_minutes,fraud_incidents
AGENT_BANKING,2023-05-27,60546,21410,137716,585225392.77,13898242.99,6019,349,114.5,1054
ATM_NETWORK,2023-05-27,150657,80726,491582,831035488.34,9752637.93,34674,1963,49.2,3879
CORPORATE_PORTAL,2023-05-27,12101,8271,93388,222618982.42,4239724.16,1130,39,20.1,61
INTERNET_BANKING,2023-05-27,85146,48894,453163,1325080293.38,14156188.37,5321,397,22.4,671
MOBILE_BANKING,2023-05-27,120996,85835,253943,459233711.64,11453602.27,2974,220,4.8,240
POS_TERMINALS,2023-05-27,39633,11881,38830,80205864.93,1007482.57,6300,535,78.8,452
USSD_SERVICE,2023-05-27,201203,114810,499253,428051404.33,6130581.65,7436,1038,23.4,972
WALLET_APP,2023-05-27,97077,72225,574621,1471855957.78,12842384.08,1047,79,5.3,246
AGENT_BANKING,2023-05-28,61082,23526,174867,414611109.19,6615155.54,11330,340,55.5,665
ATM_NETWORK,2023-05-28,150528,55138,586168,2140922115.08,20088137.85,39355,620,27.4,682
CORPORATE_PORTAL,2023-05-28,12276,6894,41890,41621573.14,946297.47,1205,54,38.9,105
INTERNET_BANKING,2023-05-28,86043,53172,196901,367321599.93,3623531.88,3760,198,43.2,567
MOBILE_BANKING,2023-05-28,123089,89562,250387,788546047.54,13442111.36,1294,157,3.5,200
POS_TERMINALS,2023-05-28,39312,5548,39711,139449131.48,2435395.81,5315,193,148.5,335
USSD_SERVICE,2023-05-28,202788,130109,1509524,4923770697.68,68499724.45,39336,538,40.7,4032
WALLET_APP,2023-05-28,97813,85637,294286,193096069.81,3171024.14,2189,423,5.8,256
AGENT_BANKING,2023-05-29,60811,21521,131231,421688485.28,5550446.33,9721,469,70.7,253
ATM_NETWORK,2023-05-29,150960,71566,778096,1022954604.23,8333952.03,41057,711,71.9,2064
CORPORATE_PORTAL,2023-05-29,12323,6916,32473,75457784.62,1304519.42,422,50,37.8,85
INTERNET_BANKING,2023-05-29,86977,59239,565069,573644646.63,10777702.23,18088,660,39.0,811
MOBILE_BANKING,2023-05-29,124118,91048,746404,155735930.82,2346923.57,8289,339,3.4,498
POS_TERMINALS,2023-05-29,38917,11610,115485,219023522.98,4876423.18,16565,346,269.9,1245
USSD_SERVICE,2023-05-29,203585,120720,341035,874468656.09,9916924.17,10130,386,11.9,268
WALLET_APP,2023-05-29,98920,72455,332899,516678338.84,8042695.78,486,343,4.4,37
AGENT_BANKING,2023-05-30,61234,27874,251105,736567571.49,13419495.09,12323,273,94.4,1369
ATM_NETWORK,2023-05-30,151591,54227,140181,342934648.63,4570300.84,7953,698,84.3,684
CORPORATE_PORTAL,2023-05-30,12488,7905,81595,217064266.94,3584491.93,2164,24,39.9,127
INTERNET_BANKING,2023-05-30,87916,46504,237655,249085094.99,6034866.95,5924,184,12.9,448
MOBILE_BANKING,2023-05-30,126047,111009,556192,2161932945.89,27304789.11,1822,380,7.2,297
POS_TERMINALS,2023-05-30,38328,7822,27860,115006785.45,1272053.21,4728,393,75.8,186
USSD_SERVICE,2023-05-30,205270,112123,1133289,395585778.11,9301572.98,19675,1293,29.2,1082
WALLET_APP,2023-05-30,99448,86026,919591,1458824964.92,12332164.44,1513,272,10.9,273
AGENT_BANKING,2023-05-31,61129,21759,254685,1055589918.43,11849577.93,7843,206,54.7,372
ATM_NETWORK,2023-05-31,152034,79770,400812,431831139.11,4290412.97,18090,1126,45.3,2746
CORPORATE_PORTAL,2023-05-31,12549,7836,67931,176681191.36,3052484.8,2520,36,22.8,116
INTERNET_BANKING,2023-05-31,89028,50868,369274,1684979279.76,27009691.12,7198,591,40.6,713
MOBILE_BANKING,2023-05-31,127295,110666,586044,1767349916.16,33968939.66,4277,445,11.4,475
POS_TERMINALS,2023-05-31,37852,11499,88899,171565866.3,3319971.22,9541,544,116.9,1088
USSD_SERVICE,2023-05-31,206594,123990,1460063,4069625946.8,56992833.4,31165,763,37.8,2761
WALLET_APP,2023-05-31,101608,80862,234937,716455042.95,17715284.01,3116,121,8.4,53
AGENT_BANKING,2023-06-01,60883,20320,186465,493502931.41,11244510.68,9259,352,64.7,1258
ATM_NETWORK,2023-06-01,153334,46363,379257,211026619.9,3057581.87,29236,591,118.1,2398
CORPORATE_PORTAL,2023-06-01,12634,8443,21900,24207185.32,350693.41,579,93,21.7,42
